Title,Description,category,combined_text
Identifying Cataphora and Anaphora using the Stanford Parser,"<p>Can the Stanford Parser find instances of cataphora and anaphora in a given set of sentences?</p>
<p>Are there any alternative open-source (or proprietary) software packages that are capable of coreference resolution?</p>
",Coreference & Relation Extraction,identifying cataphora anaphora using stanford parser stanford parser find instance cataphora anaphora given set sentence alternative open source proprietary software package capable coreference resolution
Allennlp Does not generate model.tar.gz after training,"<p>I am training a coreference resolution model with Alennlp. However after I execute the command <code>train_data_path=&lt;train path&gt; validation_data_path=&lt;dev path&gt; test_data_path=&lt;testpath&gt; dataset_reader=&lt;dataset reader&gt; allennlp train &lt;jsonnet file&gt; -s &lt;output dir&gt; --include-package &lt;training module&gt;</code>
it does not produce a <code>model.tar.gz</code> file in the <code>&lt;output dir&gt;</code>.</p>
<p>Any idea why?</p>
<p>edit: I've been running this via polyaxon and somehow the error logs does not appear after it fails. Rightfully once training completes the model.tar.gz file should appear. I think it should be an error that appears during training that fails it but I am unable to inspect it</p>
",Coreference & Relation Extraction,allennlp doe generate model tar gz training training coreference resolution model alennlp however execute command doe produce file idea edit running via polyaxon somehow error log doe appear fails rightfully training completes model tar gz file appear think error appears training fails unable inspect
What&#39;s the meaning of the following parameters of the coreference in Corenlp?,"<p>What's the meaning of the following parameters of the coreference in Corenlp: &quot;type&quot;, &quot;number&quot;, &quot;headIndex&quot;, &quot;position&quot;?
Here is an example of the output when using the coreference in corenlp:
{'id': 67, 'text': 'a whole input sentence', 'type': 'NOMINAL', 'number': 'SINGULAR', 'gender': 'UNKNOWN', 'animacy': 'INANIMATE', 'startIndex': 23, 'endIndex': 27, 'headIndex': 26, 'sentNum': 9, 'position': [9, 5], 'isRepresentativeMention': True}</p>
",Coreference & Relation Extraction,meaning following parameter coreference corenlp meaning following parameter coreference corenlp type number headindex position example output using coreference corenlp id text whole input sentence type nominal number singular gender unknown animacy inanimate startindex endindex headindex sentnum position isrepresentativemention true
Parsing HTML into sentences - how to handle tables/lists/headings/etc?,"<p>How do you go about parsing an HTML page with free text, lists, tables, headings, etc., into sentences?</p>

<p>Take <a href=""http://en.wikipedia.org/wiki/Neurotransmitter"" rel=""noreferrer"">this wikipedia page</a> for example. There is/are:</p>

<ul>
<li>free text: <a href=""http://en.wikipedia.org/wiki/Neurotransmitter#Discovery"" rel=""noreferrer"">http://en.wikipedia.org/wiki/Neurotransmitter#Discovery</a></li>
<li>lists: <a href=""http://en.wikipedia.org/wiki/Neurotransmitter#Actions"" rel=""noreferrer"">http://en.wikipedia.org/wiki/Neurotransmitter#Actions</a></li>
<li>tables: <a href=""http://en.wikipedia.org/wiki/Neurotransmitter#Common_neurotransmitters"" rel=""noreferrer"">http://en.wikipedia.org/wiki/Neurotransmitter#Common_neurotransmitters</a></li>
</ul>

<p>After messing around with the python <a href=""http://nltk.org/"" rel=""noreferrer"">NLTK</a>, I want to test out all of these different corpus annotation methods (from <a href=""http://nltk.googlecode.com/svn/trunk/doc/book/ch11.html#deciding-which-layers-of-annotation-to-include"" rel=""noreferrer"">http://nltk.googlecode.com/svn/trunk/doc/book/ch11.html#deciding-which-layers-of-annotation-to-include</a>):</p>

<ul>
<li><strong>Word Tokenization</strong>: The orthographic form of text does not unambiguously identify its tokens. A tokenized and normalized version, in addition to the conventional orthographic version, may be a very convenient resource.</li>
<li><strong>Sentence Segmentation</strong>: As we saw in Chapter 3, sentence segmentation can be more difficult than it seems. Some corpora therefore use explicit annotations to mark sentence segmentation.</li>
<li><strong>Paragraph Segmentation</strong>: Paragraphs and other structural elements (headings, chapters, etc.) may be explicitly annotated.</li>
<li><strong>Part of Speech</strong>: The syntactic category of each word in a document.</li>
<li><strong>Syntactic Structure</strong>: A tree structure showing the constituent structure of a sentence.</li>
<li><strong>Shallow Semantics</strong>: Named entity and coreference annotations, semantic role labels.</li>
<li><strong>Dialogue and Discourse</strong>: dialogue act tags, rhetorical structure</li>
</ul>

<p>Once you break a document into sentences it seems pretty straightforward. But how do you go about breaking down something like the HTML from that Wikipedia page? I am very familiar with using HTML/XML parsers and traversing the tree, and I have tried just stripping the HTML tags to get the plain text, but because punctuation is missing after HTML is removed, NLTK doesn't parse things like table cells, or even lists, correctly.</p>

<p>Is there some best-practice or strategy for parsing that stuff with NLP? Or do you just have to manually write a parser specific to that individual page?</p>

<p>Just looking for some pointers in the right direction, really want to try this NLTK out!</p>
",Coreference & Relation Extraction,parsing html sentence handle table list heading etc go parsing html page free text list table heading etc sentence take wikipedia page example free text list table messing around python nltk want test different corpus annotation method word tokenization orthographic form text doe unambiguously identify token tokenized normalized version addition conventional orthographic version may convenient resource sentence segmentation saw chapter sentence segmentation difficult seems corpus therefore use explicit annotation mark sentence segmentation paragraph segmentation paragraph structural element heading chapter etc may explicitly annotated part speech syntactic category word document syntactic structure tree structure showing constituent structure sentence shallow semantics named entity coreference annotation semantic role label dialogue discourse dialogue act tag rhetorical structure break document sentence seems pretty straightforward go breaking something like html wikipedia page familiar using html xml parser traversing tree tried stripping html tag get plain text punctuation missing html removed nltk parse thing like table cell even list correctly best practice strategy parsing stuff nlp manually write parser specific individual page looking pointer right direction really want try nltk
Reference resolution in python,"<p>Im trying to perform reference resolution on a short story (a few sentences).</p>
<p>I understand some of the theory behind reference resolution, I'm lost on how to start. I'm not asking for the answer I just need some sort of tip.</p>
<ul>
<li><a href=""https://i.sstatic.net/pRc2W.png"" rel=""nofollow noreferrer"">Input example (multiple sentences)</a></li>
<li><a href=""https://i.sstatic.net/yHG1C.png"" rel=""nofollow noreferrer"">Output</a></li>
<li><a href=""https://i.sstatic.net/kw4GS.png"" rel=""nofollow noreferrer"">Formal method</a></li>
</ul>
<p>We can't use any prebuilt modules besides the <code>TRIPS</code> ontology and <code>numpy</code></p>
",Coreference & Relation Extraction,reference resolution python im trying perform reference resolution short story sentence understand theory behind reference resolution lost start asking answer need sort tip input example multiple sentence output formal method use prebuilt module besides ontology
Understanding the Winograd Schema,"<p>What is the Winograd Schema?
A Winograd schema is a pair of sentences that differ in only one or two words and that contain an ambiguity that is resolved in opposite ways in the two sentences and requires the use of world knowledge and reasoning for its resolution.</p>
<p>Is this a good summary?</p>
<p>I do not understand why it is difficult to use NLP to resolve coreference in a winograd schema?</p>
",Coreference & Relation Extraction,understanding winograd schema winograd schema winograd schema pair sentence differ one two word contain ambiguity resolved opposite way two sentence requires use world knowledge reasoning resolution good summary understand difficult use nlp resolve coreference winograd schema
Is there a code to perform coreference resolution in AllenNLP in Python?,"<p>Is there a code to perform coreference resolution in AllenNLP in Python?</p>
<p>The existing code samples on the internet don't seem to work unfortunately.</p>
",Coreference & Relation Extraction,code perform coreference resolution allennlp python code perform coreference resolution allennlp python existing code sample internet seem work unfortunately
Is there a way to change the tokenizer in AllenNLP&#39;s coreference resolution model?,"<p>Does anyone know how to change the tokenizer in <a href=""https://demo.allennlp.org/coreference-resolution"" rel=""nofollow noreferrer"">AllenNLP's coreference resolution</a>? By default, it uses SpaCy and I would like to use a white space tokenizer so as to tokenize only words, not punctuation.</p>
<p>This is what I have tried so far but it does not seem to work:</p>
<pre><code>review = &quot;&quot;&quot;Judging from previous posts this used to be a good place, but not any longer.
        We, there were four of us, arrived at noon - the place was empty - 
        and the staff acted like we were imposing on them and they were very rude. 
        They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
        The food was lousy - too sweet or too salty and the portions tiny.
        After all that, they complained to me about the small tip.
        Avoid this place!&quot;&quot;&quot;

from allennlp.data.tokenizers.whitespace_tokenizer import WhitespaceTokenizer
from allennlp.predictors.predictor import Predictor

predictor = Predictor.from_path(&quot;https://storage.googleapis.com/allennlp-public-models/coref-spanbert-large-2020.02.27.tar.gz&quot;)
predictor._tokenizer = WhitespaceTokenizer()

pred = predictor.predict(document=review)

# expected output: 'Judging', 'from', 'previous', 'posts', 'this', 'used', 'to', 'be', 'a', 'good', 'place,', 'but', 'not', 'any', 'longer.'
print(pred['document'])
</code></pre>
<p>I found the documentation on tokenizers <a href=""http://docs.allennlp.org/main/api/data/tokenizers/whitespace_tokenizer/"" rel=""nofollow noreferrer"">here</a>, but I don't know if it is possible to use them on other models like on coreference resolution.</p>
",Coreference & Relation Extraction,way change tokenizer allennlp coreference resolution model doe anyone know change tokenizer allennlp coreference resolution default us spacy would like use white space tokenizer tokenize word punctuation tried far doe seem work found documentation tokenizers know possible use model like coreference resolution
is there a method to extract noun-adjectives pair from sentence in french?,"<p>i have this bit of code to extract noun-adj pairs using spacy , but this code work perfectly for english and not french because in french we have difficulty to extract pair of noun-adj :</p>
<p>1-  la voiture est belle,grande et jolie. (CCONJ = &quot;et&quot; when we have many adjectives)
2-  le tableau qui est juste en dessous est grand et beau. (so we have a coreference here , we should associate grand et beau to &quot;tableau&quot;</p>
<p>i know that dependencymatcher in spacy are robust but in  my case , sometimes I have texts which are not cleaned since it is about the opinions of people... so we need to do this manually...</p>
<p>in the output we should have something like this :
{&quot;voiture&quot;:[&quot;belle&quot;,&quot;grande&quot;,&quot;jolie&quot;], &quot;tableau&quot;:[&quot;beau&quot;,&quot;grand&quot;]}</p>
<pre><code>import spacy

nlp = spacy.load(&quot;fr_core_news_sm&quot;)
doc = nlp('la voiture est belle et jolie. le tableau qui est juste en dessous est grand ') 
noun_adj_pairs = {}
for chunk in doc.noun_chunks:
    adj = []
    noun = &quot;&quot;
    for tok in chunk:
        if tok.pos_ == &quot;NOUN&quot;:
           noun = tok.text
        if tok.pos_ == &quot;ADJ&quot; or tok.pos_ == &quot;CCONJ&quot;:
           adj.append(tok.text)
    if noun:
        noun_adj_pairs.update({noun:&quot; &quot;.join(adj)}) 
</code></pre>
",Coreference & Relation Extraction,method extract noun adjective pair sentence french bit code extract noun adj pair using spacy code work perfectly english french french difficulty extract pair noun adj la voiture est belle grande et jolie cconj et many adjective le tableau qui est juste en dessous est grand et beau coreference associate grand et beau tableau know dependencymatcher spacy robust case sometimes text cleaned since opinion people need manually output something like voiture belle grande jolie tableau beau grand
SpaCy - Split the neuralcoref results into sentences,"<p>I am using the <a href=""https://github.com/huggingface/neuralcoref"" rel=""nofollow noreferrer"">neuralcoref</a> library for coreference resolution. It works on top of the Spacy library. I get it working as by the documentation.</p>
<pre><code>import spacy
import neuralcoref

nlp = spacy.load('en')
neuralcoref.add_to_pipe(nlp)
doc1 = nlp('My sister has a dog. She loves him.')
print(doc1._.coref_resolved) # My sister has a dog. My sister loves a dog.
</code></pre>
<p>What I want to do is to split the coref_resolved attribute into sentences and remove punctuations. I don't know how to do it without running it through another NLP annotation, like so:</p>
<pre><code> doc1 = nlp('My sister has a dog. She loves him.')
 doc2 = nlp(doc1._.coref_resolved)
 print(list(doc2.sents)) # [My sister has a dog., My sister loves a dog.]
</code></pre>
<p>Next, I would need to also remove punctuations. How can I do this without running a single sentence through two different NLP pipelines? I want my result to look like:</p>
<pre><code>[&quot;My sister has a dog&quot;, &quot;My sister loves a dog&quot;]
</code></pre>
<p>Thanks!</p>
",Coreference & Relation Extraction,spacy split neuralcoref result sentence using neuralcoref library coreference resolution work top spacy library get working documentation want split coref resolved attribute sentence remove punctuation know without running another nlp annotation like next would need also remove punctuation without running single sentence two different nlp pipeline want result look like thanks
How can I iterate token attributes with coreference results in CoreNLP?,"<p>I am looking for a way to extract and merge annotation results from CoreNLP. To specify,</p>
<pre><code>import stanza
import os
from stanza.server import CoreNLPClient
corenlp_dir = '/Users/fatih/stanford-corenlp-4.2.0/'
os.environ['CORENLP_HOME'] = corenlp_dir

client = CoreNLPClient(
    annotators=['tokenize','ssplit', 'pos', 'lemma', 'ner', 'coref'], 
    memory='4G', 
    endpoint='http://localhost:9001',
    be_quiet=True)

text = &quot;Barack Obama was born in Hawaii.  He is the president. Obama was elected in 2008.&quot;

doc = client.annotate(text)

for x in doc.corefChain:
    for y in x.mention:
        print(y.animacy)
        
ANIMATE
ANIMATE
ANIMATE
</code></pre>
<p>I'd like to merge these results with the ones from following code:</p>
<pre><code>for i, sent in enumerate(document.sentence):
    print(&quot;[Sentence {}]&quot;.format(i+1))
    for t in sent.token:
        print(&quot;{:12s}\t{:12s}\t{:6s}\t{}&quot;.format(t.word, t.lemma, t.pos, t.ner))
    print(&quot;&quot;)

Barack          Barack          NNP     PERSON
Obama           Obama           NNP     PERSON
was             be              VBD     O
born            bear            VBN     O
in              in              IN      O
Hawaii          Hawaii          NNP     STATE_OR_PROVINCE
.               .               .       O

[Sentence 2]
He              he              PRP     O
is              be              VBZ     O
the             the             DT      O
president       president       NN      TITLE
.               .               .       O

[Sentence 3]
Obama           Obama           NNP     PERSON
was             be              VBD     O
elected         elect           VBN     O
in              in              IN      O
2008            2008            CD      DATE
.               .               .       O
</code></pre>
<p>Since annotations are stored in different object, I cannot iterate over the two different object and get the results for related items.</p>
<p>Is there a way out?</p>
<p>Thanks.</p>
",Coreference & Relation Extraction,iterate token attribute coreference result corenlp looking way extract merge annotation result corenlp specify like merge result one following code since annotation stored different object iterate two different object get result related item way thanks
using NLTK to find the related verbs to a specific noun,"<p>Is there any way to find the related verbs to a specific noun by using NLTK. For example for the word ""University"" I'd like to have the verbs ""study"" and ""graduate"" as an output. I mainly need this feature for relation extraction among some given entities.</p>
",Coreference & Relation Extraction,using nltk find related verb specific noun way find related verb specific noun using nltk example word university like verb study graduate output mainly need feature relation extraction among given entity
Repetition of named entity in coreference resolution,"<p>I am trying to find coreferences for the following text, using neuralcoref:</p>
<p>Alan and Bruder are great friends with Chris and Donald. Alan and Bruder want to head to Lebanon while Chris and Donald wish to stay in United States. Chris and Donald have not made up their mind yet, but will get there soon. Alan and Bruder do not want to separate but there seems to be no choice.</p>
<p><strong>Code:</strong></p>
<pre><code>case_a_bi = 'Alan and Bruder are great friends with Chris and Donald. Alan 
and Bruder want to head to Lebanon while Chris and Donald wish to stay in 
United States. Chris and Donald have not made up their mind yet, but will 
get there soon. Alan and Bruder do not want to separate but there seems to 
be no choice.'
nlp = spacy.load('en')
neuralcoref.add_to_pipe(nlp)
case_a_bi = unidecode(case_a_bi)
doc = nlp(case_a_bi)
doc._.coref_clusters
doc._.coref_resolved
</code></pre>
<p><strong>Output for coref clusters:</strong></p>
<pre><code>[Alan and Bruder: [Alan and Bruder, Alan, Alan and Bruder, Alan, Alan and Bruder],

Chris: [Chris, Chris, Chris],

Chris and Donald: [Chris and Donald, Chris and Donald, Chris and Donald, their],

Donald: [Donald, Donald, Donald]]
</code></pre>
<p><strong>Output for coref resolution:</strong></p>
<p>Alan and Bruder are great friends with Chris and Donald. Alan and Bruder want to head to Lebanon while Chris and Donald Donald wish to stay in United States. <strong>Chris and Donald Donald</strong> have not made up Chris and Donald mind yet, but will get there soon. Alan and Bruder do not want to separate but there seems to be no choice.</p>
<p>As per the outputs mentioned, I get correct clusters for Chris and Donald, but when I try to resolve these coreferences, Donald gets repeated twice in the result.</p>
<p>Can someone help me in understanding what might be going wrong here?</p>
",Coreference & Relation Extraction,repetition named entity coreference resolution trying find coreference following text using neuralcoref alan bruder great friend chris donald alan bruder want head lebanon chris donald wish stay united state chris donald made mind yet get soon alan bruder want separate seems choice code output coref cluster output coref resolution alan bruder great friend chris donald alan bruder want head lebanon chris donald donald wish stay united state chris donald donald made chris donald mind yet get soon alan bruder want separate seems choice per output mentioned get correct cluster chris donald try resolve coreference donald get repeated twice result someone help understanding might going wrong
Which coreference chains does each sentence relate to in NeuralCoref?,"<p>I am using <a href=""https://github.com/huggingface/neuralcoref"" rel=""nofollow noreferrer"">neuralcoref</a> for the task of coreference resolution in a text.</p>
<p>I want to know each sentence has mentions from which coreference clusters. For example, sentence1 has mentions from coreference clusters 1, and 4; sentence 2 has mentions from coreference clusters 10 , 14.</p>
<p>How can I do this?</p>
",Coreference & Relation Extraction,coreference chain doe sentence relate neuralcoref using neuralcoref task coreference resolution text want know sentence ha mention coreference cluster example sentence ha mention coreference cluster sentence ha mention coreference cluster
